Rowid_,FIPS,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,STATE
,39005,340678.0937500,360245.0937500,408669.0937500,446629.5937500,485887.8125000,476709.5937500,493222.8125000,526344.3125000,583363.6250000,560387.3125000,603823.3750000,576293.0000000,594876.6250000,601988.5000000,633936.3750000,651850.5000000,546766.8125000,631064.3750000,727536.1250000,757037.6250000,39
,39007,216324.9062500,228749.7031250,259498.0937500,283602.4062500,308530.6875000,302702.6875000,313188.3125000,334219.9062500,370426.3125000,355836.6875000,383417.8125000,365936.5937500,377736.8125000,382252.8125000,402539.0937500,413914.3125000,347187.9062500,400715.4062500,461973.4062500,480706.3125000,39
,39009,30014.0996094,31738.0000000,36004.1992188,39348.6015625,42807.3007813,41998.6992188,43453.5000000,46371.6015625,51395.0000000,49370.8007813,53197.6015625,50772.1015625,52409.3007813,53035.8984375,55850.6015625,57428.8007813,48170.8007813,55597.5000000,64096.8007813,66695.8984375,39
,39011,595141.3750000,629323.8125000,713917.0000000,780231.5000000,848812.8125000,832779.3125000,861626.6250000,919487.6250000,1019097.0000000,978958.5000000,1054838.0000000,1006745.0000000,1039209.0000000,1051633.0000000,1107444.0000000,1138739.0000000,955164.3750000,1102427.0000000,1270956.0000000,1322493.0000000,39
,39013,46736.6992188,49421.1015625,56064.3007813,61272.0000000,66657.7031250,65398.6015625,67664.0000000,72207.7968750,80030.2031250,76878.1015625,82837.0000000,79060.2031250,81609.6015625,82585.2968750,86968.1015625,89425.7031250,75009.5000000,86574.1015625,99808.7968750,103856.0000000,39
,39015,303754.9062500,321201.3125000,364376.9062500,398223.3125000,433226.5937500,425043.1875000,439766.6875000,469298.4062500,520137.9062500,499651.8125000,538380.1250000,513833.6875000,530403.1250000,536744.3125000,565229.5000000,581202.1250000,487507.5000000,562668.8125000,648684.8125000,674988.8750000,39
,39017,345052.9062500,364871.1875000,413916.9062500,452364.9062500,492127.3125000,482831.3125000,499556.5000000,533103.3125000,590854.8750000,567583.5000000,611577.3125000,583693.5000000,602515.6250000,609718.8750000,642077.0000000,660221.3125000,553788.0000000,639168.1250000,736878.8125000,766759.0000000,39
,39019,95241.1015625,100711.3984375,114248.8984375,124861.2968750,135836.5000000,133270.5937500,137887.0937500,147146.7031250,163087.2031250,156663.7968750,168807.0000000,161110.5000000,166305.7968750,168294.0000000,177225.5000000,182233.5937500,152856.0000000,176422.5937500,203392.5000000,211640.0937500,39
,39021,656363.5000000,694062.3125000,787357.6250000,860493.8750000,936130.1250000,918447.1250000,950262.1250000,1014075.0000000,1123931.0000000,1079664.0000000,1163350.0000000,1110309.0000000,1146112.0000000,1159815.0000000,1221367.0000000,1255881.0000000,1053422.0000000,1215833.0000000,1401699.0000000,1458538.0000000,39
,39023,555975.8125000,587908.6250000,666934.8750000,728885.3750000,792953.3750000,777975.0000000,804924.0000000,858977.3125000,952031.0000000,914534.3750000,985420.6250000,940492.0000000,970819.8750000,982426.3125000,1034564.0000000,1063799.0000000,892306.1250000,1029877.0000000,1187316.0000000,1235461.0000000,39
,39025,147145.4062500,155596.7968750,176512.0000000,192907.9062500,209864.2031250,205900.0000000,213032.4062500,227338.2031250,251965.9062500,242042.0000000,260802.9062500,248912.0000000,256938.5937500,260010.4062500,273809.3125000,281546.8125000,236159.0937500,272568.8125000,314236.8125000,326979.0937500,39
,39027,683494.1250000,722751.1250000,819902.8750000,896062.3125000,974824.8750000,956411.0000000,989541.1250000,1055992.0000000,1170389.0000000,1124292.0000000,1211436.0000000,1156203.0000000,1193487.0000000,1207755.0000000,1271851.0000000,1307792.0000000,1096965.0000000,1266089.0000000,1459638.0000000,1518826.0000000,39
,39029,214114.0000000,226411.7968750,256845.9062500,280703.9062500,305377.4062500,299608.9062500,309987.4062500,330804.0937500,366640.4062500,352199.9062500,379499.1875000,362196.5937500,373876.1875000,378346.0000000,398425.0937500,409683.9062500,343639.5000000,396620.0000000,457251.9062500,475793.3125000,39
,39031,209713.0937500,221758.0937500,251566.7031250,274934.3125000,299100.5937500,293450.8125000,303615.9062500,324004.6875000,359104.4062500,344960.8125000,371698.9062500,354751.9062500,366191.5000000,370569.4062500,390235.8125000,401263.3125000,336576.3125000,388467.8125000,447853.4062500,466013.8125000,39
,39033,572182.3125000,605045.8750000,686375.8125000,750132.0000000,816067.6250000,800652.6250000,828387.1250000,884016.0000000,979782.3125000,941192.6250000,1014145.0000000,967907.0000000,999118.8125000,1011064.0000000,1064721.0000000,1094809.0000000,918316.3750000,1059898.0000000,1221926.0000000,1271475.0000000,39
,39035,15158.2998047,16028.9003906,18183.5000000,19872.5000000,21619.3007813,21210.9003906,21945.6992188,23419.4003906,25956.4003906,24934.0996094,26866.8007813,25641.8007813,26468.6992188,26785.0996094,28206.5996094,29003.6992188,24328.0996094,28078.9003906,32371.3007813,33684.0000000,39
,39037,976147.6250000,1032213.0000000,1170963.0000000,1279732.0000000,1392218.0000000,1365920.0000000,1413236.0000000,1508139.0000000,1671517.0000000,1605683.0000000,1730140.0000000,1651257.0000000,1704505.0000000,1724883.0000000,1816423.0000000,1867753.0000000,1566656.0000000,1808194.0000000,2084615.0000000,2169146.0000000,39
,39039,450180.6875000,476037.0937500,540025.8125000,590187.8125000,642064.5000000,629936.3125000,651757.3125000,695524.8125000,770871.6250000,740510.1250000,797907.6250000,761528.3750000,786085.1250000,795483.0000000,837699.8125000,861372.0000000,722511.6250000,833904.6250000,961384.8125000,1000369.0000000,39
,39041,441170.4062500,466509.3125000,529217.1250000,578375.1250000,629213.6250000,617328.1250000,638712.3750000,681603.8750000,755442.8125000,725688.8750000,781937.5000000,746286.5000000,770351.8125000,779561.5000000,820933.3125000,844131.6250000,708050.6250000,817214.0000000,942142.8125000,980346.5000000,39
,39043,277025.8125000,292937.0000000,332313.4062500,363181.4062500,395104.5937500,387641.3125000,401069.0937500,428002.1875000,474368.0937500,455684.5937500,491005.0937500,468618.5937500,483730.0000000,489513.0937500,515491.9062500,530058.8750000,444609.0000000,513156.4062500,591603.3750000,615592.8125000,39
,39045,501255.6875000,530045.6250000,601294.0000000,657147.1250000,714909.5000000,701405.3125000,725702.0000000,774435.1250000,858330.5000000,824524.3125000,888433.8125000,847927.1250000,875270.0000000,885734.1250000,932740.5000000,959098.3750000,804483.8125000,928514.8125000,1070458.0000000,1113865.0000000,39
,39047,703100.3750000,743483.3750000,843421.8750000,921765.8750000,1002788.0000000,983845.8750000,1017926.0000000,1086283.0000000,1203961.0000000,1156542.0000000,1246187.0000000,1189369.0000000,1227722.0000000,1242400.0000000,1308335.0000000,1345306.0000000,1128432.0000000,1302407.0000000,1501508.0000000,1562394.0000000,39
,39049,350595.8125000,370732.5937500,420566.1875000,459631.8125000,500032.9062500,490587.5000000,507581.5000000,541667.1250000,600346.5000000,576701.3125000,621401.8125000,593070.0000000,612194.6250000,619513.5000000,652391.5000000,670827.1250000,562684.3125000,649435.8750000,748716.0000000,779076.3750000,39
,39051,804890.8750000,851120.3750000,965527.3750000,1055214.0000000,1147965.0000000,1126281.0000000,1165295.0000000,1243549.0000000,1378263.0000000,1323979.0000000,1426602.0000000,1361558.0000000,1405464.0000000,1422267.0000000,1497747.0000000,1540072.0000000,1291799.0000000,1490962.0000000,1718887.0000000,1788588.0000000,39
,39053,58015.5000000,61347.6992188,69594.0000000,76058.3984375,82743.8984375,81180.8984375,83993.0000000,89633.3984375,99343.5000000,95430.7031250,102827.6015625,98139.3984375,101304.1015625,102515.2031250,107955.7031250,111006.3984375,93111.2031250,107466.6015625,123895.2031250,128919.1015625,39
,39055,61404.8984375,64931.6992188,73659.7968750,80501.8984375,87577.8984375,85923.6015625,88900.0000000,94869.8984375,105147.2968750,101005.8984375,108835.0000000,103872.7968750,107222.3984375,108504.2968750,114262.6015625,117491.5000000,98550.8984375,113745.0000000,131133.2968750,136450.7968750,39
