USPS	GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                    
KS	20009	00484974	Barton County	27674	12696	2319075093	13557185	     895.400	       5.234	 38.481239	 -98.767837                                                                                        
KS	20011	00484975	Bourbon County	15173	7167	1645861744	9377657	     635.471	       3.621	 37.856100	 -94.850928                                                                                         
KS	20013	00484976	Brown County	9984	4779	1478551884	3196161	     570.872	       1.234	 39.825931	 -95.569905                                                                                            
KS	20015	00484977	Butler County	65880	26058	3703329246	43160444	    1429.863	      16.664	 37.773681	 -96.838762                                                                                        
KS	20017	00484978	Chase County	2790	1503	2002216830	12088093	     773.060	       4.667	 38.298553	 -96.594064                                                                                           
KS	20019	00484979	Chautauqua County	3669	2150	1654693205	15244179	     638.881	       5.886	 37.154259	 -96.245396                                                                                      
KS	20021	00484980	Cherokee County	21603	9890	1521793550	8948884	     587.568	       3.455	 37.169392	 -94.845698                                                                                        
KS	20023	00484981	Cheyenne County	2726	1518	2641495949	2738022	    1019.887	       1.057	 39.789256	-101.727302                                                                                         
KS	20025	00484982	Clark County	2215	1135	2524286181	6604959	     974.632	       2.550	 37.233831	 -99.813869                                                                                            
KS	20027	00484983	Clay County	8535	4042	1671322093	26674040	     645.301	      10.299	 39.344964	 -97.168853                                                                                            
KS	20029	00484984	Cloud County	9533	4659	1852726587	6859864	     715.342	       2.649	 39.487329	 -97.641390                                                                                            
KS	20031	00484985	Coffey County	8601	3964	1623784229	70310651	     626.947	      27.147	 38.236450	 -95.729137                                                                                          
KS	20033	00484986	Comanche County	1891	1044	2041681413	3604153	     788.298	       1.392	 37.189071	 -99.254089                                                                                         
KS	20035	00484987	Cowley County	36311	16030	2915679697	17291321	    1125.750	       6.676	 37.234507	 -96.837247                                                                                        
KS	20037	00484988	Crawford County	39134	17801	1527461827	13611094	     589.756	       5.255	 37.505628	 -94.853941                                                                                      
KS	20039	00484989	Decatur County	2961	1818	2314199313	1631670	     893.517	       0.630	 39.783542	-100.459708                                                                                          
KS	20041	00484990	Dickinson County	19754	8972	2193906542	12634524	     847.072	       4.878	 38.867735	 -97.157943                                                                                      
KS	20043	00484991	Doniphan County	7945	3576	1018914848	12615016	     393.405	       4.871	 39.788502	 -95.147225                                                                                        
KS	20045	00484992	Douglas County	110826	46731	1180699859	48602935	     455.871	      18.766	 38.896573	 -95.290529                                                                                      
KS	20047	00484993	Edwards County	3037	1636	1610697086	208568	     621.894	       0.081	 37.883595	 -99.304746                                                                                           
KS	20049	00484994	Elk County	2882	1760	1668637984	16061465	     644.265	       6.201	 37.456026	 -96.244642                                                                                             
KS	20051	00484995	Ellis County	28452	12872	2330762469	1197085	     899.912	       0.462	 38.914596	 -99.317329                                                                                          
KS	20053	00484996	Ellsworth County	6497	3239	1854034693	19270084	     715.847	       7.440	 38.700845	 -98.205355                                                                                       
KS	20055	00485326	Finney County	36776	13276	3372079580	1825540	    1301.967	       0.705	 38.049855	-100.739929                                                                                         
KS	20057	00484997	Ford County	33848	12005	2844508251	2097359	    1098.271	       0.810	 37.688365	 -99.884734                                                                                           
KS	20059	00484998	Franklin County	25992	11147	1480840246	13936113	     571.756	       5.381	 38.558019	 -95.278962                                                                                      
KS	20061	00484999	Geary County	34362	14517	996156662	51455057	     384.618	      19.867	 39.002155	 -96.768038                                                                                          
KS	20063	00485000	Gove County	2695	1373	2775599078	245361	    1071.665	       0.095	 38.917239	-100.487360                                                                                              
KS	20065	00481811	Graham County	2597	1484	2327160854	599432	     898.522	       0.231	 39.349445	 -99.880952                                                                                            
KS	20067	00485099	Grant County	7829	2945	1488724794	892455	     574.800	       0.345	 37.547537	-101.299362                                                                                             
KS	20069	00485001	Gray County	6006	2340	2250356182	1113338	     868.867	       0.430	 37.744513	-100.451716                                                                                             
