Rowid_,FIPS,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,STATE
,42115,494157.4062500,559739.0000000,599987.1250000,618867.6250000,643534.5000000,708953.8125000,738526.6250000,650098.6250000,777509.8125000,726868.3750000,672047.5000000,817740.8750000,864211.8125000,876254.3125000,722531.8125000,761587.3125000,812903.8750000,832952.6250000,685424.5000000,642310.6250000,587908.8750000,42
,42117,658475.0000000,745864.0000000,799495.5000000,824654.1250000,857523.1250000,944695.8125000,984102.1250000,866270.0000000,1036048.0000000,968567.3750000,895517.3750000,1089657.0000000,1190123.0000000,1206707.0000000,995012.3125000,1048796.0000000,1117891.0000000,1145462.0000000,942583.8125000,883294.3125000,808482.0000000,42
,42119,644505.8125000,730040.8750000,782534.6250000,807159.5000000,839331.3125000,924654.5000000,963225.0000000,847892.6250000,1014069.0000000,948019.8125000,876519.5000000,1066540.0000000,1263030.0000000,1280630.0000000,1055967.0000000,1113046.0000000,981351.8125000,1005555.0000000,827456.5000000,775408.6250000,709734.0000000,42
,42121,194757.9062500,220605.0000000,236467.7031250,243908.9062500,253630.5937500,279413.6875000,291069.0000000,256217.7031250,306433.0937500,286474.3125000,264868.1875000,322289.0000000,427513.5000000,433470.8125000,357426.4062500,376746.5937500,302554.4062500,310016.3125000,255107.9062500,239061.2968750,218813.5937500,42
,42123,221769.7031250,251201.5937500,269264.3125000,277737.5937500,288807.5937500,318166.6875000,331438.5000000,291753.5000000,348933.5937500,326206.5000000,301603.8125000,366988.5937500,338126.8125000,342838.4062500,282693.8125000,297974.4062500,249547.7968750,255702.5000000,210413.7968750,197178.5937500,180478.2031250,42
,42125,441917.5937500,500566.3125000,536559.6250000,553444.1250000,575503.3750000,634006.8750000,660453.3750000,581373.6250000,695315.5000000,650027.6250000,601002.1250000,731293.5000000,745739.8750000,756131.5000000,623482.3125000,657183.8125000,811714.8750000,831734.3125000,684422.0000000,641371.1250000,587049.0000000,42
,42127,394797.6875000,447192.9062500,479348.4062500,494432.5937500,514139.8125000,566405.3125000,590031.8750000,519384.0000000,621176.8125000,580717.8125000,536919.6250000,653318.6250000,623395.8750000,632082.6250000,521195.5000000,549368.0000000,528377.8750000,541409.3750000,445517.9062500,417494.3125000,382133.9062500,42
,42129,617308.3750000,699234.0000000,749512.5000000,773098.3125000,803912.5000000,885635.1250000,922578.0000000,812112.5000000,971276.3750000,908014.3750000,839531.3750000,1021534.0000000,1150351.0000000,1166381.0000000,961761.3125000,1013748.0000000,927626.5000000,950504.6250000,782156.3750000,732957.8750000,670878.6250000,42
,42131,340542.5000000,385737.3125000,413473.8125000,426485.0937500,443483.9062500,488566.8125000,508946.5937500,448007.5000000,535811.3750000,500912.5000000,463133.3125000,563536.1250000,401970.0937500,407571.4062500,336070.5937500,354236.4062500,489390.3125000,501460.1875000,412644.3125000,386688.5000000,353937.1875000,42
,42133,3178050.0000000,3599822.0000000,3858668.0000000,3980093.0000000,4138731.0000000,4559458.0000000,4749649.0000000,4180947.0000000,5000359.0000000,4674672.0000000,4322105.0000000,5259095.0000000,5001394.0000000,5071087.0000000,4181459.0000000,4407482.0000000,4894318.0000000,5015027.0000000,4126793.0000000,3867213.0000000,3539672.0000000,42
,44001,117462.7968750,92135.7031250,113081.8984375,91656.6015625,108016.5000000,112397.3984375,120200.7968750,120132.3984375,122459.7031250,184545.2968750,106168.2968750,128072.7968750,84566.5000000,55089.1015625,61594.1992188,50219.5000000,69148.8984375,71795.2968750,79440.3984375,93211.3984375,102620.7031250,44
,44003,74867.6015625,58724.8007813,72075.2968750,58419.3984375,68846.7968750,71639.0000000,76612.7031250,76569.1015625,78052.5000000,117624.1015625,67668.7968750,81630.1015625,108212.5000000,70492.7031250,78816.7968750,64261.6015625,69793.7031250,72464.7031250,80181.1015625,94080.5000000,103577.5000000,44
,44005,423235.4062500,331978.3125000,407450.4062500,330251.9062500,389199.0000000,404984.0000000,433101.0000000,432854.4062500,441240.0937500,664943.3125000,382539.6875000,461464.6875000,576240.5000000,375379.5937500,419705.8125000,342198.3125000,377095.3125000,391527.0000000,433218.5937500,508316.9062500,559629.8125000,44
,44007,249486.0937500,195692.5000000,240181.2968750,194674.7968750,229422.5937500,238727.4062500,255301.7031250,255156.2968750,260099.5000000,391966.5937500,225497.0937500,272021.3125000,452302.8125000,294643.0000000,329435.5000000,268598.3125000,197775.5937500,205344.5937500,227210.7031250,266597.5937500,293509.5937500,44
,44009,691411.3750000,542330.8750000,665624.5000000,539510.3750000,635808.3750000,661595.3125000,707528.1250000,707125.3125000,720824.5000000,1086273.0000000,624929.5000000,753864.0000000,842170.8125000,548614.1250000,613396.5000000,500119.9062500,566005.6250000,587667.1250000,650244.6250000,762964.3750000,839982.8750000,44
,45001,595190.0000000,651567.8125000,700790.8125000,723031.3750000,770001.6250000,764509.0000000,784387.3125000,770558.5000000,820945.8750000,878867.8125000,755700.5000000,950238.5000000,1348598.0000000,1132283.0000000,1047620.0000000,1063853.0000000,1055002.0000000,868248.8750000,750800.3750000,880641.3125000,938093.3750000,45
,45003,1363714.0000000,1492889.0000000,1605670.0000000,1656628.0000000,1764247.0000000,1751662.0000000,1797208.0000000,1765523.0000000,1880972.0000000,2013684.0000000,1731480.0000000,2177211.0000000,3031033.0000000,2544856.0000000,2354572.0000000,2391056.0000000,2085010.0000000,1715928.0000000,1483813.0000000,1740419.0000000,1853962.0000000,45
