FIPS,State,County,Year,N,P
8019,Colorado,Clear Creek,2002,0,0
8021,Colorado,Conejos,2002,"1,534,633","361,182"
8023,Colorado,Costilla,2002,"523,009","124,804"
8025,Colorado,Crowley,2002,"1,289,890","361,515"
8027,Colorado,Custer,2002,"270,807","81,742"
8029,Colorado,Delta,2002,"1,726,307","477,511"
8031,Colorado,Denver,2002,0,0
8033,Colorado,Dolores,2002,"175,170","55,230"
8035,Colorado,Douglas,2002,"521,741","133,861"
8037,Colorado,Eagle,2002,"304,527","90,574"
8039,Colorado,Elbert,2002,"2,138,422","653,264"
8041,Colorado,El Paso,2002,"1,521,095","456,388"
8043,Colorado,Fremont,2002,"693,724","176,764"
8045,Colorado,Garfield,2002,"1,275,639","382,216"
8047,Colorado,Gilpin,2002,"6,073","1,052"
8049,Colorado,Grand,2002,"852,644","203,857"
8051,Colorado,Gunnison,2002,"829,126","198,073"
8053,Colorado,Hinsdale,2002,"66,660","19,433"
8055,Colorado,Huerfano,2002,"552,161","129,661"
8057,Colorado,Jackson,2002,"1,382,799","333,480"
8059,Colorado,Jefferson,2002,"265,269","56,339"
8061,Colorado,Kiowa,2002,"792,790","251,697"
8063,Colorado,Kit Carson,2002,"5,200,146","1,443,568"
8065,Colorado,Lake,2002,"16,926","3,730"
8067,Colorado,La Plata,2002,"1,216,852","352,675"
8069,Colorado,Larimer,2002,"3,061,117","713,170"
8071,Colorado,Las Animas,2002,"2,024,970","641,061"
8073,Colorado,Lincoln,2002,"2,262,821","732,405"
8075,Colorado,Logan,2002,"8,547,382","2,372,319"
8077,Colorado,Mesa,2002,"2,359,845","703,870"
8079,Colorado,Mineral,2002,"39,541","11,922"
8081,Colorado,Moffat,2002,"2,428,540","668,325"
8083,Colorado,Montezuma,2002,"1,097,993","335,404"
8085,Colorado,Montrose,2002,"2,522,549","716,252"
8087,Colorado,Morgan,2002,"10,463,126","2,670,909"
8089,Colorado,Otero,2002,"2,682,618","731,126"
8091,Colorado,Ouray,2002,"366,819","117,920"
8093,Colorado,Park,2002,"456,008","139,770"
8095,Colorado,Phillips,2002,"1,282,954","318,949"
8097,Colorado,Pitkin,2002,"101,213","27,931"
8099,Colorado,Prowers,2002,"5,520,018","1,704,384"
8101,Colorado,Pueblo,2002,"1,658,214","483,172"
8103,Colorado,Rio Blanco,2002,"1,567,508","358,293"
8105,Colorado,Rio Grande,2002,"769,648","178,038"
8107,Colorado,Routt,2002,"1,535,033","461,597"
8109,Colorado,Saguache,2002,"1,333,680","421,824"
8111,Colorado,San Juan,2002,0,0
8113,Colorado,San Miguel,2002,"463,061","111,239"
8115,Colorado,Sedgwick,2002,"981,181","241,599"
8117,Colorado,Summit,2002,"117,486","34,613"
8119,Colorado,Teller,2002,"136,411","37,801"
8121,Colorado,Washington,2002,"3,087,719","760,164"
8123,Colorado,Weld,2002,"25,626,342","6,529,563"
8125,Colorado,Yuma,2002,"14,242,532","4,215,411"
9001,Connecticut,Fairfield,2002,"73,769","16,017"
9003,Connecticut,Hartford,2002,"240,200","54,320"
9005,Connecticut,Litchfield,2002,"736,436","153,299"
9007,Connecticut,Middlesex,2002,"132,694","28,732"
9009,Connecticut,New Haven,2002,"205,905","46,176"
9011,Connecticut,New London,2002,"724,463","144,169"
9013,Connecticut,Tolland,2002,"591,161","119,362"
9015,Connecticut,Windham,2002,"792,345","159,955"
10001,Delaware,Kent,2002,"662,918","134,380"
10003,Delaware,New Castle,2002,"185,994","39,309"
10005,Delaware,Sussex,2002,"15,232,901","4,549,303"
11001,District of Columbia,District of Columbia,2002,,
12001,Florida,Alachua,2002,"2,474,799","729,568"
12003,Florida,Baker,2002,"724,908","203,495"
12005,Florida,Bay,2002,"45,063","12,483"
12007,Florida,Bradford,2002,"1,019,750","269,066"
12009,Florida,Brevard,2002,"1,352,916","448,170"
12011,Florida,Broward,2002,"371,366","84,733"
12013,Florida,Calhoun,2002,"198,159","48,994"
12015,Florida,Charlotte,2002,"1,104,089","366,631"
12017,Florida,Citrus,2002,"445,098","104,317"
12019,Florida,Clay,2002,"500,667","119,474"
12021,Florida,Collier,2002,"755,945","244,008"
12023,Florida,Columbia,2002,"1,034,884","320,213"
12027,Florida,DeSoto,2002,"4,550,656","1,100,097"
12029,Florida,Dixie,2002,"344,995","96,742"
12031,Florida,Duval,2002,"536,152","124,239"
12033,Florida,Escambia,2002,"492,297","133,823"
12035,Florida,Flagler,2002,"318,993","103,046"
12037,Florida,Franklin,2002,0,0
12039,Florida,Gadsden,2002,"245,010","75,623"
12041,Florida,Gilchrist,2002,"1,527,208","339,349"
12043,Florida,Glades,2002,"3,801,734","918,917"
12045,Florida,Gulf,2002,"3,794",684
12047,Florida,Hamilton,2002,"584,056","154,661"
12049,Florida,Hardee,2002,"4,776,365","1,438,978"
12051,Florida,Hendry,2002,"3,508,442","1,137,903"
12053,Florida,Hernando,2002,"962,123","268,883"
12055,Florida,Highlands,2002,"5,019,203","1,580,066"
12057,Florida,Hillsborough,2002,"3,386,515","990,468"
12059,Florida,Holmes,2002,"1,939,233","575,929"
12061,Florida,Indian River,2002,"1,247,665","405,971"
12063,Florida,Jackson,2002,"1,783,702","529,471"
12065,Florida,Jefferson,2002,"699,098","177,619"
12067,Florida,Lafayette,2002,"1,996,208","488,065"
12069,Florida,Lake,2002,"1,533,487","453,784"
12071,Florida,Lee,2002,"820,489","252,646"
12073,Florida,Leon,2002,"203,585","47,064"
12075,Florida,Levy,2002,"2,715,429","688,960"
12077,Florida,Liberty,2002,"72,963","17,649"
12079,Florida,Madison,2002,"1,486,402","465,610"
12081,Florida,Manatee,2002,"3,111,116","929,987"
