FIPS,State,County,N_1982,N_1987,N_1992,N_1997,P_1982,P_1987,P_1992,P_1997
35019,New Mexico,Guadalupe,1768868.035,1635327.321,2004086.663,1658841.662,522798.9464,490975.2794,613535.45,498760.8368
35021,New Mexico,Harding,1877364.415,1871526.353,1942617.24,1966033.125,570316.9168,591254.6412,604494.812,612721.459
35023,New Mexico,Hidalgo,1630080.63,1598173.43,1461511.435,1439023.018,532180.5035,512732.015,466893.612,467196.097
35025,New Mexico,Lea,3197086.521,2985252.876,3518659.44,3826250.898,964398.6648,898730.5064,1034403.288,1052966.426
35027,New Mexico,Lincoln,2601500.244,2180868.691,2561087.668,2678613.376,730076.637,603322.0154,704685.173,768628.4604
35028,New Mexico,Los Alamos,1390.65,0,788.035,1019.81,240.9,0,136.51,176.66
35029,New Mexico,Luna,1340140.725,1692912.723,1613626.123,1380434.828,416167.549,515755.1815,490979.469,334085.596
35031,New Mexico,McKinley,3256159.491,2503243.595,2379990.848,1851389.43,900148.6032,664349.5355,650373.42,426259.491
35033,New Mexico,Mora,1307615.198,993025.9,1055634.106,1209192.58,393815.8111,300114.465,325775.6132,379650.149
35035,New Mexico,Otero,1626311.227,1536236.024,1448730.116,1361802.488,501349.8651,464810.5417,434604.8842,408475.6602
35037,New Mexico,Quay,3974138.162,3196550.317,3424863.588,3796052.994,1220136.466,984319.4089,1054364.657,1168638.462
35039,New Mexico,Rio Arriba,2002477.226,1847256.055,1971946.316,1602575.501,603246.925,569415.5455,586381.6936,491591.2008
35041,New Mexico,Roosevelt,3986776.88,4118095.371,3945038.358,5111873.505,1143530.477,1135232.068,1040302.455,1172332.565
35043,New Mexico,Sandoval,1003306.683,1026707.089,1118392.945,957649.0635,235572.831,241722.9776,262264.9427,222844.9131
35045,New Mexico,San Juan,1635123.32,1588012.247,2435239.626,2087147.607,423931.4938,411046.9447,724535.2582,603760.1683
35047,New Mexico,San Miguel,2369717.603,2138251.637,2838295.918,2851224.52,718120.0585,665708.1386,887845.4337,889659.9935
35049,New Mexico,Santa Fe,892536.2475,1028005.156,635941.975,954937.4335,258013.449,295154.2587,192983.282,221539.3979
35051,New Mexico,Sierra,1413907.825,1342331.706,1352589.954,1451806.023,333428.832,324223.6302,320770.2673,350088.8585
35053,New Mexico,Socorro,2736766.609,2449677.918,2699586.845,2248567.86,851878.257,739513.8462,813382.807,623436.8415
35055,New Mexico,Taos,573294.838,538701.3955,322332.246,415516.6225,169708.7332,157085.1982,101869.0584,122322.0295
35057,New Mexico,Torrance,2182018.254,1772474.76,2029729.861,1929447.728,659782.3775,535099.6378,614766.285,580314.7073
35059,New Mexico,Union,6720703.548,6503800.94,6790553.23,6884981.015,2002685.705,1861532.315,1967839.453,1987892.599
35061,New Mexico,Valencia,1086104.791,990001.7755,1158505.265,1495735.729,268324.1364,247460.6896,287908.7058,364803.2774
36001,New York,Albany,691392.907,564819.333,497610.2315,472335.119,146236.7148,128547.2257,117116.9098,114602.1724
36003,New York,Allegany,2088146.947,1730709.644,1542722.83,1694765.691,397444.313,321910.8988,303302.3582,335232.0425
36005,New York,Bronx,0,0,0,0,0,0,0,0
36007,New York,Broome,1533723.832,1355409.107,1136624.656,960797.965,289210.2667,257704.3641,218502.8539,184647.36
36009,New York,Cattaraugus,3094623.954,2890131.97,2568576.723,2293479.608,553167.1166,513075.6658,462916.1532,411132.7895
36011,New York,Cayuga,3109050.181,3162138.227,2816306.125,3167979.355,615713.6539,664838.6061,528843.6258,606014.7088
36013,New York,Chautauqua,3567902.81,3292887.373,3173313.239,2954234.36,666613.9373,613952.2193,575481.0119,527598.5686
36015,New York,Chemung,610224.1515,590994.3,500655.6825,472981.737,118945.7116,113610.736,102308.335,95460.2978
36017,New York,Chenango,2953623.375,2930730.886,2671296.905,2524568.725,515933.1415,514059.0909,467019.1018,449790.4205
36019,New York,Clinton,2336699.46,2174645.833,1991711.286,2010537.849,400049.004,370944.9677,342484.3962,343375.2196
36021,New York,Columbia,1733053.865,1551559.785,1324195.143,1412987.5,325673.7975,288283.9848,241890.1085,254331.0195
36023,New York,Cortland,2603542.214,2249113.597,2072864.233,1683661.806,451493.0561,388532.1536,369675.3687,300800.4535
36025,New York,Delaware,3643946.75,2769649.5,2287639.924,1958070.059,654036.1625,484222.7178,407058.0261,359803.5956
36027,New York,Dutchess,1624564.737,1154184.538,813338.5135,779954.3275,316306.9408,229025.0732,165099.2486,161569.558
36029,New York,Erie,2528975.614,2074798.574,1771864.952,1779656.345,514523.4707,375205.8208,320235.577,318512.781
36031,New York,Essex,519017.892,434893.8535,361686.6575,360167.701,95090.0138,78413.1384,70663.391,70871.9154
36033,New York,Franklin,2366398.147,2200730.06,1909273.079,1917030.33,399654.9179,366977.01,324972.5466,329816.657
36035,New York,Fulton,559345.943,483514.6925,464620.5495,471166.95,97815.5007,83660.2275,82639.0688,83971.906
36037,New York,Genesee,2091025.555,2200567.158,2041112.92,2461570.543,399916.374,426846.694,378406.8928,450557.59
36039,New York,Greene,511341.631,396946.595,298662.18,280189.135,104738.9624,77459.855,63644.668,58043.605
36041,New York,Hamilton,0,0,0,741.68,0,0,0,128.48
36043,New York,Herkimer,2888196.337,2518453.621,2287254.413,2095251.19,496720.4641,426511.3907,393078.8005,362543.2493
36045,New York,Jefferson,4695642.34,4160836.576,3574241.92,3410045.743,819482.4965,715772.433,625941.4422,614740.3125
36047,New York,Kings,0,0,0,0,0,0,0,0
36049,New York,Lewis,3302009.745,3106030.613,2818404.371,2870150.048,550117.0647,521270.6605,474049.2827,479052.4507
