Rowid_,FIPS,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,STATE
,33009,205852.5000000,173839.2968750,184560.0000000,131849.7968750,145250.7031250,146441.9062500,165798.7968750,150462.2031250,141007.0937500,159991.7031250,171680.2968750,243821.7031250,173271.2968750,203941.5937500,201412.0937500,213427.2968750,172747.4062500,175322.5937500,134189.0000000,145046.5937500,149918.5937500,33
,33011,168134.4062500,141986.9062500,150743.2968750,107691.2031250,118636.6015625,119609.6015625,135419.7031250,122893.2031250,115170.6015625,130676.6015625,140223.5000000,199146.5937500,141749.0000000,166839.5937500,164770.2968750,174599.5937500,151702.0937500,153963.5000000,117841.1015625,127375.8984375,131654.4062500,33
,33013,141864.5937500,119802.5000000,127190.7031250,90865.2031250,100100.5000000,100921.3984375,114261.2968750,103692.0000000,97176.0000000,110259.2968750,118314.6015625,168031.2968750,128472.7968750,151213.4062500,149337.7968750,158246.5937500,128567.3984375,130484.0000000,99870.2968750,107951.0000000,111577.0000000,33
,33015,105515.5000000,89106.2968750,94601.5000000,67583.3984375,74452.3984375,75063.0000000,84984.7968750,77123.7031250,72277.2031250,82008.2968750,87999.6015625,124977.7031250,74580.8984375,87782.2968750,86693.5000000,91865.2031250,91837.7968750,93206.7968750,71338.8984375,77111.2031250,79701.2968750,33
,33017,54980.0000000,46429.8007813,49293.1015625,35215.0000000,38794.1992188,39112.3007813,44282.3007813,40186.1015625,37660.8007813,42731.3007813,45853.1015625,65121.0000000,45287.1992188,53303.3984375,52642.3007813,55782.6015625,55383.1015625,56208.6992188,43021.1992188,46502.1992188,48064.1015625,33
,33019,106983.7968750,90346.2031250,95917.7968750,68523.7968750,75488.3984375,76107.5000000,86167.3984375,78196.7968750,73282.8984375,83149.3984375,89224.1015625,126716.7968750,91921.2031250,108191.8984375,106850.0000000,113224.1015625,101418.7968750,102930.7031250,78781.3984375,85155.7968750,88016.1015625,33
,34001,308044.0937500,290461.5937500,297249.5000000,416141.0937500,285036.8125000,269657.3125000,298667.6875000,257871.4062500,308567.3125000,285298.4062500,274751.6875000,270304.4062500,220918.0000000,179676.2031250,193461.0937500,190535.7968750,203967.9062500,206149.2968750,171303.7968750,214886.4062500,206846.0000000,34
,34003,25451.5996094,23998.9003906,24559.8007813,34383.0000000,23550.6992188,22280.0000000,24676.9003906,21306.1992188,25494.9003906,23572.3007813,22700.9003906,22333.5000000,14879.7001953,12101.9003906,13030.2998047,12833.2998047,12602.9003906,12737.7001953,10584.5996094,13277.5000000,12780.7001953,34
,34005,1243782.0000000,1172790.0000000,1200198.0000000,1680243.0000000,1150887.0000000,1088789.0000000,1205924.0000000,1041202.0000000,1245895.0000000,1151943.0000000,1109359.0000000,1091402.0000000,1074957.0000000,874279.3125000,941354.8750000,927120.6250000,904030.5000000,913699.0000000,759256.0000000,952423.6250000,916786.8125000,34
,34007,113322.0000000,106853.8984375,109351.0000000,153088.2968750,104858.2031250,99200.5000000,109872.7031250,94864.7031250,113514.5000000,104954.3984375,101074.5000000,99438.5000000,122067.0000000,99279.0000000,106895.7968750,105279.3984375,143596.2968750,145132.0937500,120600.2968750,151283.0937500,145622.5000000,34
,34009,95924.3984375,90449.2968750,92563.0000000,129585.7031250,88760.0000000,83970.8984375,93004.7031250,80300.7968750,96087.3984375,88841.5000000,85557.2968750,84172.3984375,85244.2968750,69330.6015625,74649.7031250,73520.8984375,74410.3984375,75206.2031250,62494.1015625,78393.6015625,75460.3984375,34
